trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,3,-129.97370758604634,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-200.98301591942356,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-78.8172152331442,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-62.0649987561422,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-113.04994246845907,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-318.91864615580664,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 6}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,13,-58.55622702954134,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-128.4557069642784,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-31.495315420220194,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-217.84127429687913,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-133.300417878948,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,0,-245.7756218290994,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 5}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-82.73056782997492,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-111.47654983206112,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-269.02024130693,"{0: 13, 1: 2, 2: 10, 3: 1, 4: 4}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-59.524299859153395,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-167.56934845159142,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-132.8647561541972,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-87.25899034077166,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-113.91610977746419,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-75.01342256904162,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-84.80088832754487,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-191.97170752545475,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,2,-168.16651869274313,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 3}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-13.300014442664846,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-63.65825871835032,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-116.0389494308861,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-22.0844944495372,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",30,0,-117.19677190945534,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-175.64461115416992,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-124.15603594386198,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,8,-31.650490494380414,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,8,-78.50627824300017,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,2,-105.91610647636577,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 1}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,0,-132.44086381035476,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",35,8,-120.09546087777248,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 2}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",30,0,-118.02268711634986,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-135.67176281793024,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-69.77665214825122,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-125.43783762926248,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,1,-30.28649382202282,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",35,20,-16.148244846661292,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-37.55742925079355,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-179.51993532812463,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-116.78870082852302,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,7,-77.62331603675845,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-212.71786405032904,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-88.36107988872774,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-102.59673047167492,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-158.2525795033843,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,5.143396323806165,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,5,-132.89375762111476,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 3}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-24.150462071139835,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",30,21,4.155863493597307,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-4.614734235910803,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",25,0,-79.91669806240047,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",35,13,-43.47102047358854,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,8,-15.68832625798158,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
